,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,datetime
46,107794,Female,Loyal Customer,22,Personal Travel,Business,349,2,3,2,2,5,3,3,5,5,5,5,3,5,3,-3,0,1/24/1936
47,81983,Female,Loyal Customer,13,Business travel,Business,1522,0,2,2,0,0,2,0,0,3,5,4,1,3,2,47,7,1/25/1936
48,53164,Male,Loyal Customer,54,Business travel,Business,612,4,2,2,3,5,1,2,5,5,5,5,5,5,2,41,0,1/26/1936
49,82042,Male,Loyal Customer,-1,Personal Travel,Eco,1454,3,3,1,2,5,1,5,5,1,2,4,1,2,5,0,20,1/27/1936
50,72127,Male,Loyal Customer,28,Business travel,Eco,731,2,1,1,0,1,3,1,3,2,4,3,4,2,2,14,67,1/28/1936
51,113046,Male,Loyal Customer,-1,Business travel,Business,2076,3,3,4,4,3,5,5,5,3,4,3,4,5,5,0,19,1/29/1936
52,1050,Female,Loyal Customer,-1,Business travel,Eco,309,5,5,5,5,0,1,4,5,5,5,5,3,5,1,0,30,1/30/1936
53,54886,Male,Loyal Customer,-1,Personal Travel,Eco,775,3,2,1,4,5,1,5,3,3,4,3,5,0,3,11,32,1/31/1936
184,55341,Female,Loyal Customer,40,Personal Travel,Eco,1325,3,5,5,4,0,3,2,0,4,2,5,5,5,1,40,60,2/1/1936
185,84553,Female,Loyal Customer,56,Personal Travel,Eco,2556,0,4,1,3,3,2,0,5,5,2,5,0,5,3,17,2,2/2/1936
186,100249,Male,Loyal Customer,41,Business travel,Business,1052,2,3,3,3,5,4,5,4,4,4,5,2,4,3,6,87,2/3/1936
187,2463,Female,Loyal Customer,40,Business travel,Eco,773,2,5,3,5,2,4,3,4,1,5,3,5,5,3,31,96,2/4/1936
188,22924,Male,Loyal Customer,-1,Personal Travel,Business,817,3,4,1,3,1,1,2,2,0,2,5,4,3,0,25,58,2/5/1936
189,25542,Male,Loyal Customer,59,Personal Travel,Eco,516,5,5,2,3,1,2,2,0,5,4,3,5,5,2,47,0,2/6/1936
190,115972,Female,Loyal Customer,21,Personal Travel,Eco,447,1,5,1,1,2,2,1,1,2,5,5,4,5,1,34,98,2/7/1936
191,2980,Male,Loyal Customer,12,Personal Travel,Eco,100000,2,4,2,3,1,1,3,3,3,4,1,1,0,1,26,26,2/8/1936
192,125097,Male,Loyal Customer,-1,Business travel,Eco,361,1,5,5,5,2,0,0,0,1,5,4,5,4,2,0,70,2/9/1936
193,46701,Female,Loyal Customer,37,Personal Travel,Eco,125,2,1,3,3,1,4,1,2,3,3,2,5,2,1,51,34,2/10/1936
194,108006,Female,Loyal Customer,-1,Personal Travel,Eco,271,5,0,5,3,1,5,2,3,5,2,3,2,5,2,29,54,2/11/1936
195,19578,Male,Loyal Customer,45,Personal Travel,Eco,173,1,5,0,2,3,0,5,3,5,5,4,4,4,2,84,0,2/12/1936
196,59508,Male,Loyal Customer,-1,Business travel,Business,100000,4,2,3,4,3,5,4,5,5,3,5,3,5,5,0,59,2/13/1936
197,56446,Female,Loyal Customer,52,Personal Travel,Eco,719,2,5,2,3,2,5,5,4,4,3,3,2,4,4,68,17,2/14/1936
198,48800,Female,Loyal Customer,-1,Business travel,Business,153,3,3,3,5,5,4,5,2,1,3,4,3,1,2,26,0,2/15/1936
199,129592,Female,Loyal Customer,13,Personal Travel,Business,337,3,3,1,3,0,1,0,1,3,5,1,5,5,0,18,18,2/16/1936
200,114039,Female,Loyal Customer,-1,Business travel,Business,3732,5,5,5,5,5,5,5,5,5,5,5,4,5,3,17,94,2/17/1936
201,66800,Female,Loyal Customer,-1,Business travel,Business,3854,5,5,5,5,5,5,3,5,5,5,5,5,5,3,16,8,2/18/1936
202,106799,Male,Loyal Customer,-1,Business travel,Eco,977,1,3,3,3,2,1,3,1,4,1,2,3,4,2,65,17,2/19/1936
203,47057,Male,Loyal Customer,23,Business travel,Business,3073,5,3,1,5,5,5,5,5,2,3,0,4,4,5,66,92,2/20/1936
204,61824,Female,Loyal Customer,-1,Personal Travel,Eco,1,1,5,1,1,1,1,1,2,5,2,4,3,5,2,46,47,2/21/1936
205,68207,Male,Loyal Customer,23,Business travel,Eco,631,3,1,3,3,2,2,0,3,3,5,3,4,3,3,5,27,2/22/1936
206,125512,Male,Loyal Customer,45,Personal Travel,Eco,666,1,5,1,5,4,3,3,3,4,5,5,4,5,4,5,11,2/23/1936
207,93019,Female,Loyal Customer,-1,Business travel,Business,100000,1,2,3,3,3,0,1,5,5,5,5,2,5,2,99,65,2/24/1936
208,87296,Female,Loyal Customer,-1,Personal Travel,Eco,577,2,5,2,1,2,4,5,0,1,3,0,5,1,2,23,12,2/25/1936
209,76748,Female,Loyal Customer,40,Business travel,Business,2808,5,2,3,4,4,4,4,3,3,2,5,3,4,4,7,50,2/26/1936
210,85879,Female,Loyal Customer,-1,Business travel,Business,2172,5,5,5,5,4,4,5,5,3,5,3,5,5,4,-3,31,2/27/1936
211,63961,Female,Loyal Customer,-1,Personal Travel,Eco,1192,3,1,4,4,3,3,2,1,0,5,2,2,0,2,78,99,2/28/1936
212,94760,Female,Loyal Customer,64,Business travel,Business,1773,1,3,4,3,5,4,2,2,3,3,1,3,3,3,0,56,2/29/1936
213,49608,Female,Loyal Customer,-1,Business travel,Eco,109,5,4,3,4,5,5,5,5,5,2,4,1,2,5,58,82.2,3/1/1936
214,80520,Male,Loyal Customer,23,Personal Travel,Eco,1749,2,1,2,3,3,2,3,3,1,2,5,2,3,3,110,95,3/2/1936
215,23328,Female,Loyal Customer,38,Business travel,Business,3753,2,1,3,2,0,2,5,4,3,4,4,4,4,0,42,0,3/3/1936
216,13560,Male,Loyal Customer,41,Personal Travel,Eco,214,1,4,2,3,2,0,0,3,4,4,5,5,5,3,16,34,3/4/1936
217,119121,Male,Loyal Customer,29,Personal Travel,Eco,1020,2,3,2,5,0,2,0,2,3,3,4,3,2,0,24,25,3/5/1936
218,42917,Male,Loyal Customer,47,Business travel,Eco Plus,368,5,2,3,2,5,5,3,4,5,5,2,5,3,3,93,0,3/6/1936
219,52954,Male,Loyal Customer,50,Personal Travel,Eco Plus,1448,3,2,1,5,3,1,4,3,5,3,5,3,0,4,35,22,3/7/1936
220,83112,Female,Loyal Customer,-1,Personal Travel,Eco,1127,3,5,2,2,2,3,3,2,5,5,3,3,5,4,0,99,3/8/1936
221,88574,Female,Loyal Customer,-1,Personal Travel,Eco,545,2,0,2,3,5,2,2,5,4,3,4,2,1,5,4,21,3/9/1936
222,111570,Female,Loyal Customer,-1,Business travel,Business,3238,2,2,1,2,5,5,5,3,4,3,5,3,4,3,62,72,3/10/1936
223,28662,Female,Loyal Customer,12,Personal Travel,Eco,2466,3,3,3,3,0,3,0,1,5,4,5,4,5,0,-10,0,3/11/1936
224,27177,Female,Loyal Customer,36,Personal Travel,Eco,2715,3,3,1,2,1,3,2,4,5,4,2,3,4,3,87,0,3/12/1936
225,129585,Male,Loyal Customer,49,Business travel,Business,337,4,5,2,2,4,5,5,5,4,4,5,5,3,2,18,23,3/13/1936
226,35759,Female,Loyal Customer,55,Personal Travel,Eco,1608,3,2,1,4,2,3,5,5,5,3,5,3,5,1,0,0,3/14/1936
227,49475,Female,Loyal Customer,43,Business travel,Business,3004,2,2,2,4,1,4,2,1,1,3,3,0,2,3,46,0,3/15/1936
228,78904,Female,disloyal Customer,49,Business travel,Business,980,3,3,2,3,4,2,2,2,2,5,5,4,3,4,99,1,3/16/1936
229,29619,Female,disloyal Customer,35,Business travel,Eco,1462,2,1,2,2,3,2,3,2,0,5,2,4,3,4,0,76,3/17/1936
230,77512,Male,Loyal Customer,-1,Business travel,Business,1521,2,0,4,0,3,5,3,5,5,5,5,4,5,5,0,57,3/18/1936
231,31631,Female,Loyal Customer,28,Business travel,Business,862,5,5,5,5,5,5,5,5,1,2,2,1,2,5,59,5,3/19/1936
232,38913,Male,Loyal Customer,-1,Business travel,Business,1833,3,3,4,3,2,3,5,5,5,5,5,1,5,1,5,42,3/20/1936
233,35366,Male,Loyal Customer,-1,Business travel,Business,2398,3,4,2,5,0,3,1,2,2,2,3,3,1,2,47,9,3/21/1936
234,111817,Female,disloyal Customer,-1,Business travel,Business,349,4,4,4,5,3,2,4,4,5,3,3,5,5,3,21,28,3/22/1936
235,12259,Male,Loyal Customer,48,Business travel,Business,1722,5,5,3,3,4,1,4,5,4,4,4,3,4,0,98,18,3/23/1936
236,19790,Female,Loyal Customer,-1,Personal Travel,Eco,578,3,4,2,5,1,3,3,4,4,3,4,3,3,4,99,166,3/24/1936
237,33260,Male,Loyal Customer,-1,Personal Travel,Eco Plus,163,3,5,3,3,1,2,2,1,5,2,4,5,5,1,28,93,3/25/1936
238,107079,Female,Loyal Customer,51,Personal Travel,Eco,395,3,3,5,2,3,5,5,4,3,5,4,2,4,2,0,100,3/26/1936
239,15174,Male,disloyal Customer,-1,Business travel,Eco,416,5,0,5,2,5,5,5,5,4,5,5,4,3,4,25,3,3/27/1936
240,23620,Female,Loyal Customer,37,Business travel,Eco,1,2,3,5,3,4,4,4,4,1,1,2,2,4,2,0,87,3/28/1936
241,18128,Male,Loyal Customer,23,Business travel,Business,3095,5,5,5,5,5,5,3,5,2,5,4,4,2,5,39,45,3/29/1936
242,105291,Male,Loyal Customer,32,Business travel,Business,738,4,3,3,5,4,3,4,4,5,2,3,2,2,5,60,38,3/30/1936
243,56451,Male,Loyal Customer,67,Personal Travel,Eco,719,2,4,4,5,1,2,2,1,1,2,3,1,5,1,65,14,3/31/1936
244,102068,Male,Loyal Customer,65,Personal Travel,Business,226,2,4,1,0,5,5,3,4,3,2,3,5,3,2,51,109,4/1/1936
245,57995,Female,Loyal Customer,-1,Business travel,Business,1943,2,0,0,1,4,5,5,5,5,5,5,5,5,5,10,0,4/2/1936
246,146,Male,Loyal Customer,60,Business travel,Business,2371,4,3,4,5,1,3,5,4,5,5,4,4,4,2,91,110,4/3/1936
247,18770,Female,Loyal Customer,-1,Business travel,Business,551,4,1,0,2,4,3,2,2,3,3,2,3,3,2,53,56,4/4/1936
248,42774,Male,Loyal Customer,22,Business travel,Eco Plus,493,3,2,5,5,3,5,3,3,3,5,3,4,3,3,53,74,4/5/1936
249,13776,Male,disloyal Customer,-1,Business travel,Eco,925,1,1,1,5,5,3,5,5,3,5,5,0,4,5,49,64,4/6/1936
250,103702,Female,Loyal Customer,-1,Personal Travel,Eco,405,2,3,1,4,0,3,0,0,3,2,5,5,4,2,0,0,4/7/1936
251,69826,Female,disloyal Customer,26,Business travel,Eco,1055,2,4,4,3,4,3,4,3,4,5,3,1,5,3,0,0,4/8/1936
252,57906,Male,Loyal Customer,72,Business travel,Eco,305,4,4,2,4,5,5,4,3,2,4,3,0,2,3,87,-9,4/9/1936
253,31358,Female,Loyal Customer,-1,Business travel,Business,589,5,5,5,5,1,0,5,5,5,5,5,5,5,5,87,11,4/10/1936
254,92805,Female,Loyal Customer,-1,Business travel,Business,1587,3,2,1,1,5,4,3,4,5,4,4,5,4,3,0,33,4/11/1936
255,104375,Male,Loyal Customer,51,Business travel,Business,3090,1,4,4,3,3,3,4,2,3,2,2,3,3,2,15,0,4/12/1936
256,109896,Female,disloyal Customer,26,Business travel,Eco,804,2,2,2,2,3,1,4,5,0,5,3,0,4,5,-3,40,4/13/1936
257,102955,Female,Loyal Customer,-1,Personal Travel,Eco,719,4,5,3,4,2,3,2,0,5,2,5,3,3,1,35,30,4/14/1936
258,44736,Female,Loyal Customer,72,Business travel,Eco Plus,67,2,5,2,5,1,3,4,4,2,1,2,5,4,3,119,103,4/15/1936
259,28135,Male,Loyal Customer,-1,Business travel,Eco,550,4,3,3,3,4,5,4,4,4,5,2,5,5,3,0,23,4/16/1936
260,55871,Female,Loyal Customer,-1,Business travel,Business,2809,3,3,1,2,5,5,5,5,4,4,5,5,5,5,36,28,4/17/1936
261,8818,Female,Loyal Customer,53,Personal Travel,Eco,552,3,3,5,1,4,5,5,5,5,5,5,5,5,5,0,0,4/18/1936
262,86148,Female,disloyal Customer,33,Business travel,Business,356,2,3,2,5,5,4,5,3,3,5,5,5,5,4,12,0,4/19/1936
263,120162,Female,Loyal Customer,46,Personal Travel,Business,119,3,0,4,0,5,5,5,3,3,3,4,4,4,4,13,127,4/20/1936
264,117547,Male,Loyal Customer,-1,Business travel,Business,1545,2,1,3,2,5,5,5,5,5,5,5,3,5,3,1,57,4/21/1936
265,112385,Female,Loyal Customer,40,Business travel,Eco,819,4,1,2,4,5,4,5,4,0,1,2,1,3,3,18,45,4/22/1936
266,19908,Female,Loyal Customer,37,Business travel,Business,1801,1,4,3,3,5,5,2,1,1,1,2,0,1,5,33,59,4/23/1936
267,45098,Female,Loyal Customer,-1,Business travel,Business,1658,1,1,5,3,2,1,2,5,5,5,3,3,5,4,36,6,4/24/1936
268,43810,Female,disloyal Customer,26,Business travel,Business,114,5,0,5,4,5,5,4,4,4,2,5,5,4,4,0,103,4/25/1936
269,22981,Female,Loyal Customer,62,Business travel,Eco,128,3,2,2,3,3,5,2,5,5,3,5,2,5,2,93,45,4/26/1936
270,68134,Male,Loyal Customer,58,Business travel,Business,813,1,0,2,2,5,5,5,2,4,3,2,5,4,4,67,71,4/27/1936
271,23518,Female,Loyal Customer,-1,Personal Travel,Eco,349,2,4,3,4,2,2,5,1,2,3,1,5,1,2,0,0,4/28/1936
272,109188,Female,Loyal Customer,60,Business travel,Business,1508,3,0,2,2,3,1,1,4,3,2,4,1,3,3,15,15,4/29/1936
273,1150,Female,Loyal Customer,-1,Personal Travel,Eco,89,2,5,3,3,5,4,1,5,5,5,4,4,5,5,82,56,4/30/1936
274,44586,Male,Loyal Customer,67,Personal Travel,Eco,157,3,2,3,3,5,4,5,5,4,5,4,3,2,5,89,26,5/1/1936
275,84299,Male,Loyal Customer,-1,Business travel,Business,2828,0,1,0,3,5,5,3,4,3,3,2,5,2,5,90,134,5/2/1936
276,103793,Male,Loyal Customer,30,Business travel,Business,1,1,1,2,1,5,4,5,5,5,5,5,5,5,5,7,12,5/3/1936
277,35032,Female,Loyal Customer,42,Business travel,Eco,718,5,2,5,0,4,4,3,5,5,5,5,2,5,1,91,69,5/4/1936
278,103291,Male,Loyal Customer,40,Business travel,Business,1959,4,4,2,3,5,3,5,4,4,5,5,3,5,3,209,209,5/5/1936
279,93909,Male,Loyal Customer,47,Business travel,Business,3496,3,3,2,2,1,4,5,5,5,5,5,5,5,4,80,84,5/6/1936
280,127925,Male,Loyal Customer,38,Business travel,Business,2300,5,2,1,1,4,5,2,3,5,4,5,2,5,2,60,39,5/7/1936
281,128097,Female,Loyal Customer,25,Personal Travel,Eco,2845,3,0,3,5,4,4,2,2,2,4,1,3,4,3,53,47,5/8/1936
282,26149,Male,disloyal Customer,26,Business travel,Eco,406,4,5,3,5,3,4,3,5,5,3,2,2,4,4,147,138,5/9/1936
283,95886,Male,Loyal Customer,66,Personal Travel,Eco,580,3,3,2,3,3,2,4,5,5,3,5,2,5,4,24,104,5/10/1936
284,125425,Female,Loyal Customer,69,Business travel,Eco,735,0,5,5,5,3,3,5,2,1,2,2,5,1,2,3,4,5/11/1936
285,120078,Female,Loyal Customer,-1,Business travel,Business,1722,3,5,5,5,1,3,3,2,3,5,2,4,3,3,30,151,5/12/1936
286,60625,Male,Loyal Customer,8,Personal Travel,Eco Plus,1201,1,5,1,4,3,2,2,3,4,1,2,5,5,4,24,14,5/13/1936
287,115031,Female,disloyal Customer,37,Business travel,Business,372,5,5,5,5,5,5,5,3,4,5,5,4,4,5,11,20,5/14/1936
288,37077,Female,Loyal Customer,69,Personal Travel,Eco,1072,0,5,2,5,4,4,3,1,2,1,0,5,0,4,57,103,5/15/1936
289,69252,Male,Loyal Customer,-1,Business travel,Eco,733,5,2,2,3,3,4,5,3,4,3,4,2,5,5,15,76,5/16/1936
290,12194,Male,Loyal Customer,-1,Business travel,Eco Plus,1075,1,4,0,4,2,2,1,2,2,1,5,4,3,1,101,77,5/17/1936
291,80188,Female,Loyal Customer,46,Personal Travel,Eco,2586,4,0,2,4,4,5,3,1,3,5,3,4,2,4,121,121,5/18/1936
292,10430,Male,disloyal Customer,39,Business travel,Business,140,4,3,3,4,5,5,3,3,3,4,4,4,5,3,28,11,5/19/1936
293,21262,Female,disloyal Customer,21,Business travel,Eco Plus,903,3,4,5,5,0,3,2,2,4,5,4,0,4,1,93,28,5/20/1936
294,55236,Male,Loyal Customer,46,Business travel,Business,2423,5,5,4,5,2,4,5,5,3,3,5,5,4,5,1,60,5/21/1936
295,126917,Female,Loyal Customer,36,Business travel,Business,3130,3,3,1,3,5,5,5,5,5,5,5,5,5,3,87,108,5/22/1936
296,112190,Male,Loyal Customer,60,Business travel,Business,2198,3,2,2,2,2,5,3,3,4,3,4,3,5,2,87,63,5/23/1936
297,16342,Male,Loyal Customer,-1,Business travel,Eco Plus,602,1,5,5,5,1,3,0,1,2,5,4,4,3,3,21,44,5/24/1936
298,2201,Male,Loyal Customer,52,Personal Travel,Eco,685,4,5,5,5,5,5,4,3,4,3,5,5,3,4,12,0,5/25/1936
299,53687,Male,Loyal Customer,36,Business travel,Eco,1208,3,5,5,5,4,5,3,3,1,1,3,1,4,3,3,95,5/26/1936
300,47168,Male,Loyal Customer,-1,Business travel,Business,2789,3,4,1,2,3,2,3,4,5,3,3,4,5,5,15,50,5/27/1936
301,8782,Male,Loyal Customer,45,Business travel,Business,3305,3,2,1,2,4,5,5,4,4,4,4,5,3,4,35,86,5/28/1936
302,75468,Male,Loyal Customer,67,Personal Travel,Eco,2342,3,5,2,4,5,2,3,5,4,2,2,2,4,5,31,0,5/29/1936
303,663,Female,Loyal Customer,-1,Business travel,Business,3712,4,3,4,3,4,5,5,5,5,5,5,5,5,5,39,0,5/30/1936
304,74740,Female,Loyal Customer,56,Personal Travel,Eco,1431,2,5,2,4,5,5,5,2,2,2,2,3,0,5,167,76,5/31/1936
305,117904,Female,disloyal Customer,-1,Business travel,Eco,255,2,2,3,1,3,2,3,1,0,5,4,0,3,3,113,107,6/1/1936
306,59599,Female,Loyal Customer,30,Business travel,Business,3720,2,1,0,2,1,3,1,1,3,3,2,4,5,1,27,12,6/2/1936
307,29479,Male,Loyal Customer,48,Business travel,Eco,1107,5,5,5,5,4,4,3,4,3,5,4,0,3,5,10,96,6/3/1936
308,105096,Female,Loyal Customer,-1,Business travel,Business,2999,2,3,2,3,3,5,5,4,2,5,5,2,3,3,28,109,6/4/1936
309,94421,Female,Loyal Customer,30,Business travel,Business,2438,0,2,2,0,2,1,2,3,5,4,5,2,3,1,103,28,6/5/1936
310,49058,Female,disloyal Customer,40,Business travel,Business,156,0,0,1,5,5,0,1,3,3,5,5,5,2,3,62,5,6/6/1936
311,47795,Male,Loyal Customer,-1,Business travel,Business,3665,5,5,5,5,5,5,5,4,5,5,5,3,4,2,109,184,6/7/1936
312,125451,Female,Loyal Customer,52,Business travel,Business,2917,5,5,5,5,5,5,5,4,3,5,5,5,3,5,93,82,6/8/1936
313,96114,Male,Loyal Customer,-1,Business travel,Business,1235,5,5,5,5,2,3,3,5,5,5,5,4,5,3,0,0,6/9/1936
314,23241,Female,Loyal Customer,18,Personal Travel,Eco Plus,549,3,5,1,4,3,1,1,3,5,5,4,5,3,1,58,59,6/10/1936
315,106258,Male,Loyal Customer,30,Business travel,Business,1500,3,2,3,4,5,3,5,5,5,2,5,4,5,5,54,0,6/11/1936
316,64874,Female,disloyal Customer,26,Business travel,Eco,190,3,1,2,4,2,4,1,2,3,5,4,2,3,2,0,75,6/12/1936
317,100136,Male,disloyal Customer,37,Business travel,Business,468,3,3,5,4,3,5,4,3,5,5,4,5,5,4,0,8,6/13/1936
318,51774,Male,Loyal Customer,64,Personal Travel,Eco,261,1,4,0,3,2,0,1,0,3,2,4,4,3,2,53,0,6/14/1936
319,124301,Male,disloyal Customer,-1,Business travel,Business,255,5,0,5,1,2,5,2,1,5,3,5,4,4,3,0,54,6/15/1936
320,36127,Female,Loyal Customer,-1,Business travel,Business,1609,4,2,5,5,2,5,4,3,2,4,3,1,4,3,74,95,6/16/1936
321,121855,Female,Loyal Customer,52,Business travel,Business,413,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,34,6/17/1936
322,52648,Female,Loyal Customer,-1,Personal Travel,Eco,119,1,2,1,3,5,2,1,5,4,5,4,1,3,5,41,0,6/18/1936
323,38803,Female,Loyal Customer,-1,Personal Travel,Eco,387,2,2,1,2,2,3,1,1,3,2,2,0,3,2,70,71,6/19/1936
324,39916,Male,Loyal Customer,28,Business travel,Business,1087,1,0,4,1,5,5,5,5,2,2,4,5,5,5,-4,20,6/20/1936
325,95301,Male,Loyal Customer,13,Personal Travel,Eco,323,1,5,2,2,1,1,1,1,1,5,5,5,4,2,66,7,6/21/1936
326,16505,Male,Loyal Customer,16,Personal Travel,Eco,282,3,5,1,4,5,1,5,5,2,4,5,5,4,5,77,85,6/22/1936
327,63771,Male,Loyal Customer,58,Business travel,Business,1721,4,2,4,3,2,5,5,5,5,5,3,3,3,5,82,45,6/23/1936
328,51960,Male,disloyal Customer,24,Business travel,Eco,1,3,0,3,1,5,2,5,5,2,5,5,5,3,5,55,98,6/24/1936
329,111305,Male,Loyal Customer,25,Business travel,Business,3465,1,3,4,5,1,3,1,1,4,5,2,3,3,1,0,17,6/25/1936
330,114340,Male,Loyal Customer,34,Personal Travel,Eco,948,3,5,3,2,4,2,3,5,3,4,4,2,5,4,35,0,6/26/1936
331,17379,Female,Loyal Customer,44,Business travel,Business,1707,5,5,5,5,5,5,4,5,5,5,5,2,5,2,78,0,6/27/1936
332,65992,Female,Loyal Customer,23,Personal Travel,Eco Plus,1372,4,5,4,1,2,4,2,2,2,1,2,3,5,0,57,70,6/28/1936
333,104578,Male,disloyal Customer,-1,Business travel,Business,369,5,4,5,3,1,5,0,2,5,3,5,4,4,2,-3,0,6/29/1936
334,7443,Male,Loyal Customer,8,Personal Travel,Eco,552,5,4,3,2,4,3,4,4,2,2,1,2,5,3,42,25,6/30/1936
335,67768,Female,Loyal Customer,-1,Business travel,Eco,1188,0,5,5,5,0,1,5,0,3,2,4,2,2,2,1,22,7/1/1936
336,89581,Male,Loyal Customer,43,Business travel,Eco,1005,5,5,3,4,5,5,5,5,5,1,3,3,4,5,97,35,7/2/1936
337,47417,Female,Loyal Customer,-1,Business travel,Business,1870,3,2,0,2,3,4,3,3,1,1,2,1,1,3,0,-1,7/3/1936
338,30231,Female,Loyal Customer,-1,Business travel,Eco,896,3,3,3,4,4,2,4,2,3,2,2,5,1,0,87,60,7/4/1936
339,14343,Male,Loyal Customer,27,Personal Travel,Eco,429,4,5,3,4,3,4,2,3,5,2,3,4,4,4,0,58,7/5/1936
340,79924,Male,Loyal Customer,-1,Business travel,Business,1796,5,2,2,3,5,3,5,0,5,2,2,3,1,4,248,211,7/6/1936
341,105654,Male,disloyal Customer,-1,Business travel,Eco,842,2,1,1,1,5,0,5,5,1,4,4,5,3,5,87,28,7/7/1936
342,29495,Male,disloyal Customer,-1,Business travel,Business,1107,4,4,2,4,2,4,4,0,0,5,4,3,5,1,90,0,7/8/1936
343,98183,Female,disloyal Customer,36,Business travel,Business,327,3,3,2,4,5,1,5,5,5,5,5,3,4,5,39,65,7/9/1936
344,87554,Male,Loyal Customer,55,Personal Travel,Business,432,5,3,2,2,5,5,3,4,3,2,1,4,3,5,0,18,7/10/1936
345,83683,Female,disloyal Customer,23,Business travel,Eco,577,0,0,1,2,5,2,5,5,4,1,4,1,1,5,40,0,7/11/1936
346,74603,Male,Loyal Customer,50,Business travel,Business,1877,3,4,4,4,5,5,4,3,2,3,3,1,2,5,0,57,7/12/1936
347,83191,Female,Loyal Customer,-1,Business travel,Business,1123,5,5,5,5,3,5,4,5,5,5,5,5,5,3,22,5,7/13/1936
348,110103,Male,Loyal Customer,-1,Business travel,Business,1749,2,0,0,2,4,5,5,5,5,5,5,3,5,3,19,52,7/14/1936
349,57026,Female,Loyal Customer,-1,Business travel,Business,2454,4,4,4,3,5,3,5,2,2,4,4,4,2,5,36,115,7/15/1936
